Entity,Code,Year,Rate,Gender,Population,Suicide Rate,Depressive Disorder Rates, All Ages 
Vietnam,VNM,1990,2.101618362,Male,67989000,9.506400242,2893.213339,1569697.016
Vietnam,VNM,1991,2.103303921,Male,69437000,9.449325181,2891.292068,1607940.485
Vietnam,VNM,1992,2.104390292,Male,70883000,9.394767259,2890.420594,1648174.917
Vietnam,VNM,1993,2.106723912,Male,72300000,9.338196939,2888.738157,1688955.824
Vietnam,VNM,1994,2.108193728,Male,73651000,9.29162855,2888.323878,1732803.85
Vietnam,VNM,1995,2.108942494,Male,74910000,9.236108239,2887.213827,1776840.816
Vietnam,VNM,1996,2.107642765,Male,76069000,9.152020552,2885.15174,1823012.51
Vietnam,VNM,1997,2.106997237,Male,77133000,9.046137039,2884.756523,1870969.792
Vietnam,VNM,1998,2.104589661,Male,78116000,8.914701606,2885.386627,1920698.177
Vietnam,VNM,1999,2.105277352,Male,79036000,8.765651354,2886.411141,1972374.992
Vietnam,VNM,2000,2.10314973,Male,79910000,8.618050898,2882.694686,2020456.032
Vietnam,VNM,2001,2.103869071,Male,80743000,8.475544641,2879.224594,2071104.912
Vietnam,VNM,2002,2.106627314,Male,81534000,8.369111513,2872.800526,2119647.926
Vietnam,VNM,2003,2.107579292,Male,82302000,8.310766367,2866.072025,2168297.858
Vietnam,VNM,2004,2.109844664,Male,83063000,8.242143174,2859.305606,2217290.663
Vietnam,VNM,2005,2.11042794,Male,83833000,8.155733864,2854.092294,2266589.563
Vietnam,VNM,2006,2.113000982,Male,84618000,8.054188837,2847.034893,2316572.78
Vietnam,VNM,2007,2.114739524,Male,85420000,7.940879105,2838.440155,2365075.571
Vietnam,VNM,2008,2.114021193,Male,86243000,7.856174212,2830.302299,2412427.578
Vietnam,VNM,2009,2.114215702,Male,87092000,7.801783284,2822.052034,2458846.623
Vietnam,VNM,2010,2.113716262,Male,87968000,7.702340597,2814.760556,2504703.697
Vietnam,VNM,2011,2.115178704,Male,88871000,7.613471461,2807.787526,2551202.67
Vietnam,VNM,2012,2.120109492,Male,89802000,7.554714687,2802.367597,2598599.103
Vietnam,VNM,2013,2.121262891,Male,90753000,7.525522591,2796.252756,2644177.362
Vietnam,VNM,2014,2.12393365,Male,91714000,7.503921314,2791.371118,2690256.217
Vietnam,VNM,2015,2.128072256,Male,92677000,7.481462725,2787.539348,2736264.676
Vietnam,VNM,2016,2.13107509,Male,93640000,7.460807379,2782.832917,2781776.026
Vietnam,VNM,2017,2.138026587,Male,94601000,7.422037807,2779.500683,2828343.511
Vietnam,VNM,1990,3.598942424,Female,67989000,9.506400242,2893.213339,1569697.016
Vietnam,VNM,1991,3.597535898,Female,69437000,9.449325181,2891.292068,1607940.485
Vietnam,VNM,1992,3.599088317,Female,70883000,9.394767259,2890.420594,1648174.917
Vietnam,VNM,1993,3.598558135,Female,72300000,9.338196939,2888.738157,1688955.824
Vietnam,VNM,1994,3.601669121,Female,73651000,9.29162855,2888.323878,1732803.85
Vietnam,VNM,1995,3.603520215,Female,74910000,9.236108239,2887.213827,1776840.816
Vietnam,VNM,1996,3.607182614,Female,76069000,9.152020552,2885.15174,1823012.51
Vietnam,VNM,1997,3.614741561,Female,77133000,9.046137039,2884.756523,1870969.792
Vietnam,VNM,1998,3.626977712,Female,78116000,8.914701606,2885.386627,1920698.177
Vietnam,VNM,1999,3.637958671,Female,79036000,8.765651354,2886.411141,1972374.992
Vietnam,VNM,2000,3.641255851,Female,79910000,8.618050898,2882.694686,2020456.032
Vietnam,VNM,2001,3.644109952,Female,80743000,8.475544641,2879.224594,2071104.912
Vietnam,VNM,2002,3.640729138,Female,81534000,8.369111513,2872.800526,2119647.926
Vietnam,VNM,2003,3.638852994,Female,82302000,8.310766367,2866.072025,2168297.858
Vietnam,VNM,2004,3.635615038,Female,83063000,8.242143174,2859.305606,2217290.663
Vietnam,VNM,2005,3.633865601,Female,83833000,8.155733864,2854.092294,2266589.563
Vietnam,VNM,2006,3.625969214,Female,84618000,8.054188837,2847.034893,2316572.78
Vietnam,VNM,2007,3.615107166,Female,85420000,7.940879105,2838.440155,2365075.571
Vietnam,VNM,2008,3.606825215,Female,86243000,7.856174212,2830.302299,2412427.578
Vietnam,VNM,2009,3.597109622,Female,87092000,7.801783284,2822.052034,2458846.623
Vietnam,VNM,2010,3.589066506,Female,87968000,7.702340597,2814.760556,2504703.697
Vietnam,VNM,2011,3.580601978,Female,88871000,7.613471461,2807.787526,2551202.67
Vietnam,VNM,2012,3.571886883,Female,89802000,7.554714687,2802.367597,2598599.103
Vietnam,VNM,2013,3.565602408,Female,90753000,7.525522591,2796.252756,2644177.362
Vietnam,VNM,2014,3.560647651,Female,91714000,7.503921314,2791.371118,2690256.217
Vietnam,VNM,2015,3.555864877,Female,92677000,7.481462725,2787.539348,2736264.676
Vietnam,VNM,2016,3.551118601,Female,93640000,7.460807379,2782.832917,2781776.026
Vietnam,VNM,2017,3.545613168,Female,94601000,7.422037807,2779.500683,2828343.511
